,Please indicate the postal code from where you usually start your trip to the university:
8028,63
8029,37
8014,34
8860,30
8015,30
8222,25
8030,23
8025,22
8024,21
8027,21
8034,21
8940,20
8013,19
8036,19
8800,19
8980,17
8004,15
8020,15
8005,15
8026,15
8904,14
8023,14
8173,14
8018,14
8850,14
8242,14
8840,14
8950,13
8221,13
8001,13
8022,13
8290,13
8032,12
8830,12
8225,12
8037,11
8901,11
8011,11
8970,11
8820,11
8902,11
8912,11
8021,11
8243,10
8100,10
8006,10
8172,10
8720,10
8930,10
8031,10
8012,9
8042,9
8302,9
8202,9
8002,9
8191,8
8041,8
8206,8
8757,8
8921,8
8700,7
8201,7
8003,7
8224,7
8016,7
8192,7
8017,7
8304,6
8810,6
8019,6
8440,6
8035,6
8906,6
8241,6
8320,5
8110,5
8292,5
8211,5
8210,5
8007,5
8750,5
8391,5
8870,5
8903,5
8630,4
8203,4
8914,4
8233,4
8208,4
8038,4
8223,4
8310,4
8905,4
8303,4
8917,4
8207,4
8402,4
8227,4
8197,4
8500,4
8008,4
8330,4
8960,4
8340,4
8339,4
8205,3
8390,3
8401,3
8348,3
8009,3
8250,3
8922,3
8392,3
8770,3
8232,3
8140,3
43005,3
43881,3
8291,3
8911,3
8204,3
8784,3
8226,3
8760,3
8105,3
8295,3
8180,3
8010,3
8530,3
8033,3
8370,3
8924,3
8120,2
8739,2
8430,2
8913,2
8918,2
17007,2
8620,2
43700,2
8174,2
8775,2
8907,2
8186,2
8480,2
8786,2
8600,2
8415,2
8328,2
8629,2
8395,2
8170,2
8459,2
8338,2
25200,2
8350,2
8787,2
2028,2
8755,2
8450,2
8251,2
8198,2
8740,2
8150,2
8260,1
8194,1
8795,1
12600,1
8590,1
8759,1
17252,1
8460,1
8915,1
17520,1
8792,1
83293,1
8209,1
8420,1
8262,1
8521,1
8175,1
8261,1
8106,1
8396,1
8791,1
43713,1
8859,1
8256,1
8540,1
8329,1
8923,1
43883,1
43202,1
8403,1
17003,1
17217,1
17001,1
7702,1
8130,1
17458,1
17800,1
8193,1
8691,1
8272,1
25001,1
8360,1
8195,1
8490,1
8589,1
25280,1
8780,1
45003,1
8812,1
25560,1
8185,1
0,1
8271,1
8758,1
17004,1
8273,1
8585,1
8458,1
80233,1
4545,1
9850,1
8692,1
8849,1
8650,1
17401,1
8733,1
8184,1
8781,1
8790,1
8979,1
8228,1
8508,1
8182,1
8560,1
17005,1
8711,1
27600,1
43882,1
17240,1
8470,1
8869,1
8397,1
17411,1
8214,1
8380,1
8301,1
8187,1
8798,1
8280,1
8461,1
8570,1
8107,1
8756,1
8571,1
17300,1
7712,1
43580,1
8640,1
43830,1
43203,1
25430,1
8410,1
8253,1
8788,1
80826,1
8270,1
8550,1
